month_start_date,date_key,year,month_name,month_short_name,quarter,year_quarter
2024-01-01,202401,2024,January,Jan,Q1,2024-Q1
2024-02-01,202402,2024,February,Feb,Q1,2024-Q1
2024-03-01,202403,2024,March,Mar,Q1,2024-Q1
2024-04-01,202404,2024,April,Apr,Q2,2024-Q2
2024-05-01,202405,2024,May,May,Q2,2024-Q2
2024-06-01,202406,2024,June,Jun,Q2,2024-Q2
2024-07-01,202407,2024,July,Jul,Q3,2024-Q3
2024-08-01,202408,2024,August,Aug,Q3,2024-Q3
2024-09-01,202409,2024,September,Sep,Q3,2024-Q3
2024-10-01,202410,2024,October,Oct,Q4,2024-Q4
2024-11-01,202411,2024,November,Nov,Q4,2024-Q4
2024-12-01,202412,2024,December,Dec,Q4,2024-Q4
2025-01-01,202501,2025,January,Jan,Q1,2025-Q1
2025-02-01,202502,2025,February,Feb,Q1,2025-Q1
2025-03-01,202503,2025,March,Mar,Q1,2025-Q1
2025-04-01,202504,2025,April,Apr,Q2,2025-Q2
2025-05-01,202505,2025,May,May,Q2,2025-Q2
2025-06-01,202506,2025,June,Jun,Q2,2025-Q2
2025-07-01,202507,2025,July,Jul,Q3,2025-Q3
2025-08-01,202508,2025,August,Aug,Q3,2025-Q3
2025-09-01,202509,2025,September,Sep,Q3,2025-Q3
2025-10-01,202510,2025,October,Oct,Q4,2025-Q4
2025-11-01,202511,2025,November,Nov,Q4,2025-Q4
2025-12-01,202512,2025,December,Dec,Q4,2025-Q4
