product_code,division,category,product,variant,product_id,read_timestamp,file_name,file_size
062f5574bbdf4386b2c7c6075483b417b4a00b172fcba919dbba7dae1b774379,Other,SportsBar Oats Cookie Bites ChocoChip (180g),SportsBar Oats Cookie Bites ChocoChip (180g),180g,25891503,2026-04-21T17:20:48.627Z,products.csv,1388
e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e,Other,SportsBar Energy Bar Choco Fudge (40g),SportsBar Energy Bar Choco Fudge (40g),40g,25891102,2026-04-21T17:20:48.627Z,products.csv,1388
d9ebd1ca64d23951a6310af93b1c5ac27d831ac842e89aea59a9e8b38621faa5,Other,SportsBar Granola Crunch Honey Almond (300g),SportsBar Granola Crunch Honey Almond (300g),300g,25891302,2026-04-21T17:20:48.627Z,products.csv,1388
77b6f538a9d0e0cf845db5c2cbecec46fdd30303b501e06f64baf1d4dc0e66f9,Other,SportsBar Greek Yogurt Pro Vanilla (80g),SportsBar Greek Yogurt Pro Vanilla (80g),80g,25891403,2026-04-21T17:20:48.627Z,products.csv,1388
3cab59f05924285270313afcfe40a08983bb03dd88f432e34fc6336914c14345,Other,SportsBar Granola Crunch Honey Almond (400g),SportsBar Granola Crunch Honey Almond (400g),400g,25891301,2026-04-21T17:20:48.627Z,products.csv,1388
5931334e4cbe6b3792c209e8394e87aa21b83816b47d99375e4ff25e651ce63a,Other,SportsBar Oats Cookie Bites ChocoChip (350g),SportsBar Oats Cookie Bites ChocoChip (350g),350g,999999,2026-04-21T17:20:48.627Z,products.csv,1388
0cb7b2f42657b625f754e833aa1cf6a967be26f17415f5342302ebb0e90c8a28,Other,SportsBar Protein Bar Peanut Crunch (55g),SportsBar Protein Bar Peanut Crunch (55g),55g,25891202,2026-04-21T17:20:48.627Z,products.csv,1388
716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742,Other,SportsBar Electrolyte Mix Lemon-Lime (30 Sachets),SportsBar Electrolyte Mix Lemon-Lime (30 Sachets),30 Sachets,25891601,2026-04-21T17:20:48.627Z,products.csv,1388
778c2a7aa27bfdb211fd5ece048de80d00fbf3d6924bd908d91054796ba16ab6,Other,SportsBar Electrolyte Mix Lemon-Lime (15 Sachets),SportsBar Electrolyte Mix Lemon-Lime (15 Sachets),15 Sachets,25891602,2026-04-21T17:20:48.627Z,products.csv,1388
c68834ceaff15846bc1892c2185dc4e4f471d64fe3796b1a8ecc39a5a48c614f,Other,SportsBar Granola Crunch Honey Almond (200g),SportsBar Granola Crunch Honey Almond (200g),200g,25891303,2026-04-21T17:20:48.627Z,products.csv,1388
da6bfc596c1360ca07bda4e0ae6bfe3b8456517fc6e8ddc265630ff940f9ab05,Other,SportsBar Greek Yogurt Pro Vanilla (200g),SportsBar Greek Yogurt Pro Vanilla (200g),200g,25891401,2026-04-21T17:20:48.627Z,products.csv,1388
2e387cef1424d6e7b162b45622d4b1a788d11776e33d05cc8552f4ecd2ea1896,Other,SportsBar Protein Bar Peanut Crunch (45g),SportsBar Protein Bar Peanut Crunch (45g),45g,25891201,2026-04-21T17:20:48.627Z,products.csv,1388
889c67757ece9c973791dfbc2d47b026a3342cc7255e47a3170329d158e897c2,Other,SportsBar Protein Bar Peanut Crunch (65g),SportsBar Protein Bar Peanut Crunch (65g),65g,25891203,2026-04-21T17:20:48.627Z,products.csv,1388
451f7167b28a25bde73995910e31c07dfa26411f1db47847f19e16747effbdaa,Other,SportsBar Electrolyte Mix Lemon-Lime (5 Sachets),SportsBar Electrolyte Mix Lemon-Lime (5 Sachets),5 Sachets,25891603,2026-04-21T17:20:48.627Z,products.csv,1388
102628255d24304d6bbe0438b1ac992054f262e0814d306d0a34d7356cef3268,Other,SportsBar Energy Bar Choco Fudge (25g),SportsBar Energy Bar Choco Fudge (25g),25g,25891103,2026-04-21T17:20:48.627Z,products.csv,1388
fe5a8036be4b9a787b7c0ae013fc752a8cfb6c55a2f7b2fd152a6380925e9c49,Other,SportsBar Greek Yogurt Pro Vanilla (120g),SportsBar Greek Yogurt Pro Vanilla (120g),120g,25891402,2026-04-21T17:20:48.627Z,products.csv,1388
e91ba9d665f90254da5809bfdebe3db2be01a52f50b6fd96b57eed238392b843,Other,SportsBar Energy Bar Choco Fudge (60g),SportsBar Energy Bar Choco Fudge (60g),60g,25891101,2026-04-21T17:20:48.627Z,products.csv,1388
ee1f7df9cf660ef02c33037d8d6eb94cbefe8e7b84c306e9387f09b0cae0abae,Other,SportsBar Oats Cookie Bites ChocoChip (500g),SportsBar Oats Cookie Bites ChocoChip (500g),500g,25891501,2026-04-21T17:20:48.627Z,products.csv,1388
